Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,npxG/Sh,Cmp,Att,Cmp%,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Crs,CK,TB,Sw,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Int,Tkl+Int,Clr,Blocks,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,Won%,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,xG_p90,npxG_p90,xAG_p90,npxG+xAG_p90,xG+xAG_p90,Sh_p90,SoT_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,xA_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,CK_p90,TB_p90,Sw_p90,PrgP_p90,Tkl_p90,TklW_p90,Def 3rd_p90,Mid 3rd_p90,Att 3rd_p90,Int_p90,Tkl+Int_p90,Clr_p90,Blocks_p90,Touches_p90,Def Pen_p90,Att Pen_p90,Succ_p90,Carries_p90,PrgC_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,PrgR_p90,CrdY_p90,CrdR_p90,Fls_p90,Fld_p90,PKwon_p90,PKcon_p90,OG_p90,Recov_p90,Won_p90,PrimaryPos,SecondaryPos,Group,Cluster
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,8.5,7.7,3.8,11.5,0.4,73,26,35.6,2.37,0.85,0.11,0.31,0.11,351,538,65.2,5145,976,3.4,27,23,15,4,30,0,3,4,48,61,1.98,9,0.29,11,5,2,4,5,33.3,4,15,36,27,1,878,34,142,35,40.7,587,75,42,92,65,689,169,3,0,0,34,3,0,0,0,83,64,45.7,0.2926300578034682,0.065028901734104,0.3576589595375722,0.2601156069364161,0.2763728323699422,0.2503612716763005,0.1235549132947976,0.3739161849710982,0.0130057803468208,2.373554913294798,0.8453757225433527,11.41257225433526,17.492774566473987,167.28684971098266,31.734104046242773,0.1105491329479768,0.8778901734104047,0.7478323699421965,0.4877167630057803,0.130057803468208,0.9754335260115606,0.0,0.097543352601156,0.130057803468208,1.5606936416184969,0.3576589595375722,0.1625722543352601,0.065028901734104,0.130057803468208,0.1625722543352601,0.130057803468208,0.4877167630057803,1.170520231213873,0.8778901734104047,28.547687861271672,1.1054913294797688,4.617052023121388,1.1380057803468209,19.085982658959537,2.4385838150289016,1.365606936416185,2.991329479768786,2.1134393063583814,22.402456647398843,5.494942196531792,0.097543352601156,0.0,1.1054913294797688,0.097543352601156,0.0,0.0,0.0,2.6986994219653178,2.0809248554913293,FW,,attack,1
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1997.0,28,12,1183,13.1,3,4,7,2,1,2,7.1,5.4,2.2,7.6,0.7,26,11,42.3,1.98,0.84,0.08,0.18,0.21,152,221,68.8,1956,534,1.3,14,13,10,0,3,0,5,0,26,33,2.51,9,0.68,17,11,2,10,5,75.0,2,19,16,6,0,367,20,57,4,28.6,158,8,4,22,13,241,69,1,0,0,23,1,1,0,0,12,36,52.2,0.228233305156382,0.3043110735418428,0.5325443786982248,0.1521555367709214,0.540152155536771,0.4108199492814878,0.1673710904480135,0.5781910397295013,0.0532544378698224,1.978021978021978,0.8368554522400676,11.563820794590026,16.813186813186814,148.8081149619611,40.62552831783601,0.0989010989010989,1.0650887573964496,0.989010989010989,0.760777683854607,0.0,0.228233305156382,0.0,0.3803888419273035,0.0,1.978021978021978,1.2933220625528317,0.8368554522400676,0.1521555367709214,0.760777683854607,0.3803888419273035,0.1521555367709214,1.4454775993237532,1.2172442941673711,0.4564666103127641,27.920540997464077,1.521555367709214,4.33643279797126,0.3043110735418428,12.02028740490279,0.6086221470836856,0.3043110735418428,1.6737109044801353,0.989010989010989,18.334742180896026,5.249366018596788,0.0760777683854607,0.0,1.749788672865596,0.0760777683854607,0.0760777683854607,0.0,0.0,0.9129332206255284,2.738799661876585,FW,,attack,1
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,2000.0,15,13,1075,11.9,3,1,4,3,0,0,4.3,4.3,1.0,5.3,0.44,26,12,46.2,2.18,1.0,0.12,0.25,0.16,112,179,62.6,1540,198,0.1,12,8,0,0,5,0,1,2,6,25,2.09,5,0.42,4,3,1,2,1,75.0,1,5,5,7,1,251,5,49,7,50.0,126,11,7,16,14,174,45,2,0,0,17,2,2,0,0,24,28,50.9,0.2511627906976744,0.0837209302325581,0.3348837209302325,0.2511627906976744,0.36,0.36,0.0837209302325581,0.4437209302325581,0.0368372093023255,2.1767441860465118,1.0046511627906978,9.376744186046512,14.986046511627906,128.93023255813952,16.57674418604651,0.0083720930232558,1.0046511627906978,0.6697674418604651,0.0,0.0,0.4186046511627906,0.0,0.0837209302325581,0.1674418604651162,0.5023255813953489,0.3348837209302325,0.2511627906976744,0.0837209302325581,0.1674418604651162,0.0837209302325581,0.0837209302325581,0.4186046511627906,0.4186046511627906,0.586046511627907,21.01395348837209,0.4186046511627906,4.102325581395348,0.586046511627907,10.548837209302324,0.9209302325581394,0.586046511627907,1.3395348837209302,1.172093023255814,14.567441860465117,3.767441860465116,0.1674418604651162,0.0,1.4232558139534883,0.1674418604651162,0.1674418604651162,0.0,0.0,2.0093023255813955,2.344186046511628,FW,,attack,1
Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996.0,36,30,2652,29.5,9,3,12,9,0,1,9.0,8.2,2.0,10.2,0.37,63,25,39.7,2.14,0.85,0.14,0.36,0.13,414,557,74.3,6531,1184,2.9,26,32,7,0,10,0,4,5,40,63,2.14,5,0.17,12,6,2,4,6,14.3,2,14,18,17,0,802,19,104,11,29.7,509,23,9,63,34,630,153,2,0,0,29,5,0,0,0,50,36,36.7,0.3054298642533937,0.1018099547511312,0.4072398190045249,0.3054298642533937,0.3054298642533937,0.2782805429864253,0.0678733031674208,0.3461538461538461,0.0125565610859728,2.138009049773756,0.8484162895927602,14.049773755656108,18.902714932126692,221.64027149321268,40.18099547511312,0.0984162895927601,0.8823529411764706,1.0859728506787332,0.2375565610859728,0.0,0.3393665158371041,0.0,0.1357466063348416,0.169683257918552,1.3574660633484164,0.4072398190045249,0.2036199095022624,0.0678733031674208,0.1357466063348416,0.2036199095022624,0.0678733031674208,0.4751131221719457,0.6108597285067874,0.5769230769230769,27.217194570135742,0.6447963800904977,3.5294117647058822,0.3733031674208145,17.273755656108598,0.7805429864253394,0.3054298642533937,2.138009049773756,1.1538461538461535,21.380090497737555,5.1923076923076925,0.0678733031674208,0.0,0.9841628959276018,0.169683257918552,0.0,0.0,0.0,1.6968325791855203,1.2217194570135748,FW,,attack,1
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,25,19,1545,17.2,2,2,4,2,0,0,5.5,5.5,2.4,7.9,0.46,36,11,30.6,2.1,0.64,0.06,0.18,0.16,198,312,63.5,2376,316,1.9,17,7,8,0,5,0,2,0,14,29,1.69,3,0.17,9,3,3,3,3,27.3,12,21,20,12,0,534,21,80,10,34.5,275,8,4,59,24,350,84,5,1,0,38,3,0,0,0,52,53,32.9,0.116504854368932,0.116504854368932,0.233009708737864,0.116504854368932,0.3203883495145631,0.3203883495145631,0.1398058252427184,0.4601941747572816,0.0267961165048543,2.0970873786407767,0.6407766990291263,11.533980582524272,18.1747572815534,138.40776699029126,18.407766990291265,0.1106796116504854,0.9902912621359222,0.4077669902912621,0.4660194174757281,0.0,0.2912621359223301,0.0,0.116504854368932,0.0,0.8155339805825242,0.5242718446601942,0.174757281553398,0.174757281553398,0.174757281553398,0.174757281553398,0.6990291262135923,1.2233009708737863,1.1650485436893203,0.6990291262135923,31.106796116504853,1.2233009708737863,4.660194174757282,0.5825242718446603,16.019417475728154,0.4660194174757281,0.233009708737864,3.436893203883495,1.3980582524271843,20.388349514563107,4.893203883495145,0.2912621359223301,0.058252427184466,2.2135922330097086,0.174757281553398,0.0,0.0,0.0,3.029126213592233,3.087378640776699,FW,,attack,3
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,2002.0,25,17,1433,15.9,7,6,13,7,0,0,5.5,5.5,6.0,11.5,0.72,46,18,39.1,2.89,1.13,0.15,0.39,0.12,298,401,74.3,4376,889,4.1,28,10,19,2,26,2,3,2,28,57,3.58,11,0.69,20,14,6,6,8,40.0,7,27,5,20,0,636,9,88,40,42.6,417,68,41,43,31,465,153,4,0,0,27,2,0,0,0,48,9,40.9,0.4396371249127704,0.3768318213538032,0.8164689462665736,0.4396371249127704,0.3454291695743196,0.3454291695743196,0.3768318213538032,0.7222609909281229,0.0452198185624563,2.889043963712492,1.1304954640614098,18.715980460572226,25.18492672714585,274.8360083740405,55.83391486392185,0.2575017445917655,1.7585484996510816,0.628053035589672,1.1933007676203768,0.1256106071179344,1.6329378925331473,0.1256106071179344,0.1884159106769016,0.1256106071179344,1.7585484996510816,1.256106071179344,0.8792742498255408,0.3768318213538032,0.3768318213538032,0.5024424284717376,0.4396371249127704,1.6957431960921143,0.314026517794836,1.256106071179344,39.944173063503136,0.5652477320307049,5.526866713189113,2.512212142358688,26.189811584089323,4.27076064200977,2.575017445917655,2.7006280530355897,1.946964410327983,29.20446615491975,9.609211444521982,0.2512212142358688,0.0,1.6957431960921143,0.1256106071179344,0.0,0.0,0.0,3.0146545708304258,0.5652477320307049,FW,MF,attack,2
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,2002.0,29,12,1097,12.2,2,2,4,2,0,0,2.5,2.5,2.5,4.9,0.4,33,8,24.2,2.71,0.66,0.06,0.25,0.07,290,382,75.9,4148,820,2.8,16,5,17,6,41,1,2,0,18,47,3.86,7,0.57,23,14,10,8,5,38.5,8,31,6,12,2,548,10,76,21,42.0,366,50,27,39,12,388,136,0,0,0,13,0,0,0,0,47,7,63.6,0.1640838650865998,0.1640838650865998,0.3281677301731996,0.1640838650865998,0.2051048313582497,0.2051048313582497,0.2051048313582497,0.4020054694621696,0.0328167730173199,2.707383773928897,0.6563354603463992,23.792160437556976,31.340018231540565,340.30993618960804,67.27438468550592,0.2297174111212397,1.3126709206927984,0.4102096627164995,1.3947128532360984,0.4922515952597995,3.3637192342752966,0.0820419325432999,0.1640838650865998,0.0,1.4767547857793983,1.886964448495898,1.1485870556061988,0.820419325432999,0.6563354603463992,0.4102096627164995,0.6563354603463992,2.543299908842297,0.4922515952597995,0.984503190519599,44.95897903372836,0.820419325432999,6.235186873290794,1.722880583409298,30.02734731084777,4.102096627164995,2.2151321786690974,3.1996353691886963,0.984503190519599,31.832269826800363,11.157702825888787,0.0,0.0,1.0665451230628988,0.0,0.0,0.0,0.0,3.855970829535096,0.5742935278030994,FW,MF,attack,0
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,1998.0,32,17,1639,18.2,3,1,4,3,0,0,3.1,3.1,3.8,7.0,0.38,38,13,34.2,2.09,0.71,0.08,0.23,0.08,320,461,69.4,5556,1270,3.6,21,23,14,10,53,0,1,4,32,52,2.86,6,0.33,17,8,4,8,5,36.8,8,25,20,31,0,741,13,62,48,49.0,495,53,28,63,45,555,108,3,0,0,21,5,1,0,0,72,19,29.7,0.1647345942647956,0.0549115314215985,0.2196461256863941,0.1647345942647956,0.1702257474069554,0.1702257474069554,0.2086638194020744,0.3843807199511898,0.0208663819402074,2.086638194020744,0.7138499084807809,17.57169005491153,25.314215985356924,305.08846857840143,69.73764490543014,0.1976815131177547,1.1531421598535694,1.2629652226967665,0.7687614399023796,0.5491153142159854,2.9103111653447225,0.0,0.0549115314215985,0.2196461256863941,1.757169005491153,0.9334960341671752,0.4392922513727882,0.2196461256863941,0.4392922513727882,0.2745576571079927,0.4392922513727882,1.3727882855399631,1.0982306284319707,1.7022574740695546,40.68944478340451,0.7138499084807809,3.4045149481391093,2.63575350823673,27.181208053691275,2.9103111653447225,1.537522879804759,3.459426479560708,2.471018913971934,30.47589993898719,5.930445393532642,0.1647345942647956,0.0,1.1531421598535694,0.2745576571079927,0.0549115314215985,0.0,0.0,3.9536302623550954,1.043319097010372,FW,MF,attack,3
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30.0,1994.0,31,29,2495,27.7,13,2,15,13,0,1,10.4,9.6,3.1,12.7,0.49,53,25,47.2,1.91,0.9,0.25,0.52,0.18,462,671,68.9,6965,969,1.8,35,29,11,1,7,0,2,12,41,60,2.17,8,0.29,26,19,3,12,11,31.3,6,32,26,16,0,914,32,125,8,47.1,410,10,4,60,11,658,124,5,0,0,61,2,2,0,0,62,133,52.4,0.468937875751503,0.0721442885771543,0.5410821643286573,0.468937875751503,0.3751503006012024,0.3462925851703406,0.1118236472945891,0.4581162324649299,0.0176753507014028,1.911823647294589,0.9018036072144288,16.665330661322646,24.204408817635272,251.24248496993985,34.95390781563126,0.0649298597194388,1.2625250501002003,1.0460921843687374,0.3967935871743486,0.0360721442885771,0.25250501002004,0.0,0.0721442885771543,0.4328657314629258,1.4789579158316637,0.937875751503006,0.685370741482966,0.1082164328657314,0.4328657314629258,0.3967935871743486,0.2164328657314629,1.154308617234469,0.937875751503006,0.5771543086172345,32.96993987975952,1.154308617234469,4.509018036072145,0.2885771543086172,14.789579158316633,0.3607214428857715,0.1442885771543086,2.164328657314629,0.3967935871743486,23.73547094188377,4.472945891783567,0.1803607214428857,0.0,2.2004008016032066,0.0721442885771543,0.0721442885771543,0.0,0.0,2.236472945891784,4.797595190380762,FW,,attack,1
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22.0,2002.0,32,27,2406,26.7,5,10,15,4,1,1,9.2,8.4,7.3,15.7,0.62,61,17,27.9,2.28,0.64,0.07,0.24,0.14,989,1216,81.3,13887,4098,7.8,49,90,64,3,53,17,8,8,173,119,4.45,19,0.71,51,31,12,24,15,46.3,15,66,13,34,0,1566,22,156,50,48.5,999,127,47,78,47,1149,226,2,0,0,31,8,0,0,0,131,5,17.9,0.1870324189526184,0.3740648379052369,0.5610972568578554,0.1496259351620947,0.3441396508728179,0.314214463840399,0.2730673316708229,0.587281795511222,0.0231920199501246,2.281795511221945,0.6359102244389028,36.99501246882793,45.4862842892768,519.4638403990025,153.29177057356608,0.2917705735660847,1.832917705735661,3.3665835411471323,2.3940149625935163,0.112219451371571,1.9825436408977557,0.6359102244389028,0.2992518703241895,0.2992518703241895,6.471321695760598,1.9077306733167083,1.1596009975062345,0.4488778054862842,0.8977556109725685,0.5610972568578554,0.5610972568578554,2.4688279301745637,0.4862842892768079,1.2718204488778055,58.5785536159601,0.8229426433915212,5.835411471321696,1.8703241895261848,37.36907730673317,4.750623441396509,1.758104738154613,2.917705735660848,1.758104738154613,42.98004987531172,8.453865336658355,0.0748129675810473,0.0,1.1596009975062345,0.2992518703241895,0.0,0.0,0.0,4.900249376558604,0.1870324189526184,FW,MF,attack,0
