Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,npxG/Sh,Cmp,Att,Cmp%,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Crs,CK,TB,Sw,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Int,Tkl+Int,Clr,Blocks,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,Won%,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,xG_p90,npxG_p90,xAG_p90,npxG+xAG_p90,xG+xAG_p90,Sh_p90,SoT_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,xA_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,CK_p90,TB_p90,Sw_p90,PrgP_p90,Tkl_p90,TklW_p90,Def 3rd_p90,Mid 3rd_p90,Att 3rd_p90,Int_p90,Tkl+Int_p90,Clr_p90,Blocks_p90,Touches_p90,Def Pen_p90,Att Pen_p90,Succ_p90,Carries_p90,PrgC_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,PrgR_p90,CrdY_p90,CrdR_p90,Fls_p90,Fld_p90,PKwon_p90,PKcon_p90,OG_p90,Recov_p90,Won_p90,PrimaryPos,SecondaryPos,Group,Cluster
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1987.0,16,11,1033,11.5,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.03,2,1,50.0,0.17,0.09,0.0,0.0,0.12,438,505,86.7,7952,2404,0.3,2,28,0,0,0,0,0,0,22,6,0.55,0,0.0,17,11,15,2,0,62.5,14,31,57,1,1,641,127,7,3,42.9,322,4,0,8,3,393,3,2,0,0,16,0,0,0,0,42,19,65.5,0.0,0.0,0.0,0.0,0.0174249757986447,0.0174249757986447,0.0087124878993223,0.0348499515972894,0.0026137463697967,0.1742497579864472,0.0871248789932236,38.16069699903194,43.99806389157793,692.8170377541143,209.4482090997096,0.026137463697967,0.1742497579864472,2.439496611810261,0.0,0.0,0.0,0.0,0.0,0.0,1.91674733785092,1.4811229428848014,0.9583736689254598,1.3068731848983544,0.1742497579864472,0.0,1.2197483059051306,2.700871248789932,4.966118102613746,0.0871248789932236,55.84704743465634,11.0648596321394,0.6098741529525653,0.2613746369796709,28.054211035818007,0.3484995159728944,0.0,0.6969990319457889,0.2613746369796709,34.24007744433688,0.2613746369796709,0.1742497579864472,0.0,1.393998063891578,0.0,0.0,0.0,0.0,3.659244917715392,1.6553727008712489,DF,,defense,0
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,25,17,1393,15.5,5,2,7,5,0,0,4.3,4.3,1.9,6.2,0.4,29,11,37.9,1.87,0.71,0.17,0.45,0.17,502,678,74.0,7914,2701,1.7,20,19,21,7,51,0,0,2,42,45,2.91,3,0.19,43,25,18,14,11,65.1,20,63,37,22,0,886,51,50,12,41.4,391,35,9,32,14,481,101,2,0,0,27,0,0,0,0,72,22,61.1,0.3230437903804737,0.1292175161521895,0.4522613065326633,0.3230437903804737,0.2778176597272074,0.2778176597272074,0.12275664034458,0.4005743000717875,0.0258435032304379,1.873653984206748,0.7106963388370423,32.43359655419957,43.804737975592246,511.3137114142139,174.50825556353195,0.109834888729361,1.292175161521895,1.2275664034458005,1.3567839195979898,0.4522613065326633,3.295046661880833,0.0,0.0,0.1292175161521895,2.71356783919598,2.7781765972720747,1.615218951902369,1.1629576453697057,0.9045226130653268,0.7106963388370423,1.292175161521895,4.07035175879397,2.3905240488155064,1.4213926776740846,57.24335965541996,3.295046661880833,3.230437903804738,0.7753050969131371,25.262024407753053,2.261306532663317,0.5814788226848528,2.067480258435032,0.9045226130653268,31.076812634601577,6.525484565685571,0.1292175161521895,0.0,1.7444364680545583,0.0,0.0,0.0,0.0,4.651830581478823,1.4213926776740846,DF,MF,defense,3
Abel,es ESP,DF,Osasuna,es La Liga,23.0,2000.0,35,20,2074,23.0,2,0,2,2,0,0,0.5,0.5,1.0,1.6,0.07,12,4,33.3,0.52,0.17,0.17,0.5,0.04,776,1071,72.5,12899,5046,1.5,16,57,18,13,85,0,3,2,77,39,1.69,4,0.17,61,37,28,25,8,61.9,18,79,64,47,2,1322,65,19,18,51.4,605,50,7,27,18,683,92,3,0,0,25,1,0,1,0,106,20,54.1,0.0867888138862102,0.0,0.0867888138862102,0.0867888138862102,0.0216972034715525,0.0216972034715525,0.0433944069431051,0.0694310511089681,0.0030376084860173,0.5207328833172614,0.1735776277724204,33.674059787849565,46.47540983606557,559.7444551591128,218.9681774349084,0.0650916104146576,0.6943105110896818,2.473481195756991,0.781099324975892,0.5641272902603665,3.6885245901639343,0.0,0.1301832208293153,0.0867888138862102,3.3413693346190936,2.647058823529412,1.605593056894889,1.215043394406943,1.0848601735776278,0.3471552555448409,0.781099324975892,3.428158148505304,2.777242044358727,2.03953712632594,57.36740597878495,2.820636451301832,0.8244937319189972,0.781099324975892,26.253616200578595,2.1697203471552555,0.3037608486017357,1.171648987463838,0.781099324975892,29.638379942140787,3.9922854387656703,0.1301832208293153,0.0,1.0848601735776278,0.0433944069431051,0.0,0.0433944069431051,0.0,4.599807135969142,0.8678881388621023,DF,,defense,3
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,19,12,1090,12.1,1,1,2,1,0,0,0.6,0.6,1.1,1.7,0.14,7,3,42.9,0.58,0.25,0.14,0.33,0.08,568,675,84.1,8355,3494,2.3,11,45,11,2,31,6,1,5,66,25,2.06,1,0.08,29,20,12,10,7,65.6,5,34,41,19,0,791,40,22,6,50.0,426,31,5,14,8,513,55,1,0,0,16,0,0,0,0,45,7,43.8,0.0825688073394495,0.0825688073394495,0.1651376146788991,0.0825688073394495,0.0495412844036697,0.0495412844036697,0.0908256880733945,0.1403669724770642,0.0115596330275229,0.5779816513761469,0.2477064220183486,46.899082568807344,55.73394495412843,689.862385321101,288.4954128440367,0.1899082568807339,0.9082568807339452,3.7155963302752295,0.9082568807339452,0.1651376146788991,2.559633027522936,0.4954128440366973,0.0825688073394495,0.4128440366972477,5.44954128440367,2.3944954128440368,1.651376146788991,0.9908256880733946,0.8256880733944955,0.5779816513761469,0.4128440366972477,2.8073394495412844,3.3853211009174315,1.5688073394495414,65.31192660550458,3.302752293577982,1.81651376146789,0.4954128440366973,35.174311926605505,2.559633027522936,0.4128440366972477,1.1559633027522938,0.6605504587155964,42.357798165137616,4.541284403669725,0.0825688073394495,0.0,1.3211009174311927,0.0,0.0,0.0,0.0,3.7155963302752295,0.5779816513761469,DF,,defense,3
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999.0,29,29,2463,27.4,0,1,1,0,0,0,0.9,0.9,0.3,1.2,0.04,12,1,8.3,0.44,0.04,0.0,0.0,0.08,719,939,76.6,16039,5771,0.4,8,67,10,2,5,0,1,17,79,25,0.91,3,0.11,36,23,24,11,1,58.8,39,75,146,6,1,1251,160,25,3,75.0,632,16,0,18,3,650,4,13,0,0,47,1,1,2,0,87,40,53.3,0.0,0.0365408038976857,0.0365408038976857,0.0,0.0328867235079171,0.0328867235079171,0.0109622411693057,0.0438489646772228,0.0014616321559074,0.4384896467722289,0.0365408038976857,26.272838002436053,34.31181485992692,586.0779537149817,210.87697929354445,0.0146163215590743,0.292326431181486,2.448233861144945,0.3654080389768575,0.0730816077953715,0.1827040194884287,0.0,0.0365408038976857,0.6211936662606578,2.8867235079171745,1.3154689403166868,0.8404384896467721,0.8769792935444579,0.4019488428745432,0.0365408038976857,1.425091352009744,2.7405602923264314,5.33495736906212,0.2192448233861144,45.71254567600487,5.84652862362972,0.9135200974421436,0.1096224116930572,23.0937880633374,0.584652862362972,0.0,0.6577344701583434,0.1096224116930572,23.75152253349573,0.146163215590743,0.4750304506699147,0.0,1.7174177831912305,0.0365408038976857,0.0365408038976857,0.0730816077953715,0.0,3.17904993909866,1.46163215590743,DF,,defense,0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,23,20,1710,19.0,0,1,1,0,0,0,0.4,0.4,0.6,1.0,0.05,5,1,20.0,0.26,0.05,0.0,0.0,0.08,1200,1297,92.5,22280,6158,1.4,9,59,8,5,10,0,0,2,62,20,1.05,1,0.05,23,19,16,7,0,64.7,26,49,81,5,0,1484,139,20,3,75.0,915,19,1,7,2,1101,22,0,0,0,11,0,0,0,0,62,61,67.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0210526315789473,0.0210526315789473,0.031578947368421,0.0526315789473684,0.0026315789473684,0.2631578947368421,0.0526315789473684,63.1578947368421,68.26315789473684,1172.6315789473686,324.10526315789474,0.0736842105263157,0.4736842105263157,3.1052631578947367,0.4210526315789474,0.2631578947368421,0.5263157894736842,0.0,0.0,0.1052631578947368,3.263157894736842,1.2105263157894737,1.0,0.8421052631578948,0.368421052631579,0.0,1.368421052631579,2.5789473684210527,4.2631578947368425,0.2631578947368421,78.10526315789474,7.315789473684211,1.0526315789473684,0.1578947368421052,48.1578947368421,1.0,0.0526315789473684,0.368421052631579,0.1052631578947368,57.94736842105263,1.1578947368421053,0.0,0.0,0.5789473684210527,0.0,0.0,0.0,0.0,3.263157894736842,3.210526315789474,DF,,defense,0
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1997.0,22,15,1409,15.7,1,1,2,1,0,0,0.9,0.9,0.2,1.2,0.07,13,2,15.4,0.83,0.13,0.08,0.5,0.07,1079,1184,91.1,19805,7144,0.2,1,62,1,0,0,0,2,3,42,15,0.96,1,0.06,17,13,11,6,0,66.7,11,28,80,3,0,1330,175,14,4,66.7,777,5,0,4,0,1000,1,4,0,0,8,0,0,0,0,41,42,60.0,0.063875088715401,0.063875088715401,0.127750177430802,0.063875088715401,0.0574875798438608,0.0574875798438608,0.0127750177430802,0.0766501064584812,0.004471256210078,0.830376153300213,0.127750177430802,68.92122072391767,75.62810503903478,1265.046132008517,456.3236337828248,0.0127750177430802,0.063875088715401,3.9602555003548616,0.063875088715401,0.0,0.0,0.0,0.127750177430802,0.1916252661462029,2.6827537260468417,1.085876508161817,0.830376153300213,0.7026259758694109,0.3832505322924059,0.0,0.7026259758694109,1.7885024840312278,5.110007097232079,0.1916252661462029,84.95386799148332,11.178140525195175,0.8942512420156139,0.255500354861604,49.630943931866575,0.3193754435770049,0.0,0.255500354861604,0.0,63.875088715401,0.063875088715401,0.255500354861604,0.0,0.511000709723208,0.0,0.0,0.0,0.0,2.618878637331441,2.6827537260468417,DF,,defense,0
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,1997.0,16,16,1410,15.7,1,0,1,1,0,0,0.8,0.8,0.2,1.1,0.07,7,2,28.6,0.45,0.13,0.14,0.5,0.12,855,1001,85.4,17344,6203,0.3,4,40,1,0,2,0,1,11,31,17,1.09,3,0.19,30,19,21,9,0,65.0,12,42,90,5,0,1172,190,7,10,76.9,758,6,0,6,4,796,2,3,0,0,7,0,0,0,0,83,26,56.5,0.0638297872340425,0.0,0.0638297872340425,0.0638297872340425,0.051063829787234,0.051063829787234,0.0127659574468085,0.0702127659574468,0.0044680851063829,0.4468085106382979,0.1276595744680851,54.57446808510639,63.89361702127659,1107.063829787234,395.936170212766,0.0191489361702127,0.2553191489361702,2.5531914893617023,0.0638297872340425,0.0,0.1276595744680851,0.0,0.0638297872340425,0.7021276595744681,1.9787234042553192,1.9148936170212765,1.2127659574468086,1.3404255319148937,0.5744680851063829,0.0,0.7659574468085106,2.6808510638297878,5.744680851063829,0.3191489361702128,74.80851063829788,12.127659574468083,0.4468085106382979,0.6382978723404256,48.38297872340426,0.3829787234042553,0.0,0.3829787234042553,0.2553191489361702,50.80851063829788,0.1276595744680851,0.1914893617021276,0.0,0.4468085106382979,0.0,0.0,0.0,0.0,5.297872340425532,1.6595744680851063,DF,,defense,0
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,1997.0,14,14,1260,14.0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,0.06,15,3,20.0,1.07,0.21,0.0,0.0,0.04,810,922,87.9,16521,6962,0.3,8,71,4,1,1,0,3,22,77,21,1.5,1,0.07,25,17,19,3,3,73.1,19,44,64,4,1,1080,178,4,9,75.0,621,10,0,9,6,701,0,3,0,0,13,0,0,0,0,85,18,62.1,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0214285714285714,0.0571428571428571,0.0042857142857142,1.0714285714285714,0.2142857142857143,57.85714285714286,65.85714285714285,1180.071428571429,497.2857142857143,0.0214285714285714,0.5714285714285714,5.071428571428571,0.2857142857142857,0.0714285714285714,0.0714285714285714,0.0,0.2142857142857143,1.5714285714285714,5.5,1.7857142857142856,1.2142857142857144,1.3571428571428572,0.2142857142857143,0.2142857142857143,1.3571428571428572,3.142857142857143,4.571428571428571,0.2857142857142857,77.14285714285714,12.714285714285714,0.2857142857142857,0.6428571428571428,44.35714285714286,0.7142857142857142,0.0,0.6428571428571428,0.4285714285714286,50.07142857142858,0.0,0.2142857142857143,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,6.071428571428571,1.2857142857142856,DF,,defense,2
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,1999.0,22,21,1751,19.5,3,0,3,3,0,0,1.4,1.4,1.8,3.2,0.17,9,4,44.4,0.46,0.21,0.33,0.75,0.15,655,822,79.7,10350,3456,2.5,20,36,22,12,49,0,0,3,43,35,1.8,1,0.05,30,14,12,14,4,52.2,21,51,48,26,0,1045,48,37,9,25.7,545,33,8,33,12,605,105,1,0,0,11,2,0,0,1,67,21,41.2,0.1541976013706453,0.0,0.1541976013706453,0.1541976013706453,0.0719588806396344,0.0719588806396344,0.0925185608223872,0.1644774414620217,0.0087378640776699,0.462592804111936,0.2055968018275271,33.66647629925757,42.25014277555682,531.9817247287265,177.63563677898344,0.1284980011422044,1.0279840091376355,1.850371216447744,1.1307824100513992,0.6167904054825813,2.518560822387207,0.0,0.0,0.1541976013706453,2.2101656196459163,1.541976013706453,0.7195888063963449,0.6167904054825813,0.7195888063963449,0.2055968018275271,1.0793832095945175,2.621359223300971,2.4671616219303254,1.3363792118789264,53.71216447744147,2.4671616219303254,1.901770416904626,0.462592804111936,28.01256424900057,1.696173615077099,0.4111936036550542,1.696173615077099,0.6167904054825813,31.09651627641348,5.396916047972587,0.0513992004568817,0.0,0.5653912050256996,0.1027984009137635,0.0,0.0,0.0513992004568817,3.443746430611079,1.0793832095945175,DF,,defense,1
