Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,Launch%,AvgLen,Stp,Stp%,#OPA,#OPA/90,AvgDist,Cluster
Adrián,es ESP,GK,Betis,es La Liga,37.0,1987.0,19,19,1710,19.0,27.0,1.42,76.0,49.0,65.8,10.0,5.0,4.0,3.0,15.8,1.0,0.0,0.0,26.0,0.33,-1.0,28.0,31.2,14.0,5.4,16.0,0.84,11.7,1
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,2000.0,14,14,1206,13.4,9.0,0.67,34.0,24.0,76.5,9.0,4.0,1.0,5.0,35.7,1.0,1.0,0.0,10.5,0.27,1.5,37.5,33.9,20.0,14.0,17.0,1.27,14.2,2
Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,1992.0,28,28,2508,27.9,29.0,1.04,100.0,73.0,72.0,18.0,7.0,3.0,9.0,32.1,1.0,0.0,0.0,30.5,0.3,3.5,19.7,26.6,11.0,4.3,49.0,1.76,16.0,2
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31.0,1993.0,26,25,2260,25.1,41.0,1.63,115.0,77.0,64.3,5.0,7.0,13.0,5.0,20.0,0.0,0.0,0.0,35.4,0.31,-2.6,34.4,32.1,15.0,3.8,30.0,1.19,15.0,1
Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,1994.0,31,31,2790,31.0,39.0,1.26,134.0,95.0,73.9,13.0,7.0,11.0,8.0,25.8,4.0,0.0,0.0,41.0,0.28,2.0,33.2,32.9,22.0,6.0,54.0,1.74,16.0,2
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22.0,2002.0,26,26,2307,25.6,37.0,1.44,120.0,81.0,69.2,12.0,6.0,8.0,10.0,38.5,0.0,2.0,0.0,37.0,0.3,0.0,32.4,33.1,34.0,9.0,28.0,1.09,12.7,2
Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28.0,1996.0,32,32,2880,32.0,39.0,1.22,133.0,93.0,75.2,10.0,12.0,10.0,8.0,25.0,6.0,2.0,0.0,40.0,0.25,2.0,42.3,38.2,35.0,7.7,38.0,1.19,14.4,0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34.0,1990.0,28,28,2520,28.0,53.0,1.89,138.0,84.0,63.0,6.0,8.0,14.0,4.0,14.3,2.0,3.0,0.0,52.1,0.36,1.1,41.6,36.5,18.0,4.4,31.0,1.11,14.5,1
Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33.0,1991.0,32,32,2880,32.0,54.0,1.69,128.0,74.0,64.1,14.0,5.0,13.0,10.0,31.3,8.0,1.0,1.0,46.2,0.31,-6.8,42.0,36.0,33.0,7.2,53.0,1.66,16.2,1
Jean Butez,fr FRA,GK,Como,it Serie A,29.0,1995.0,19,18,1666,18.5,20.0,1.08,68.0,48.0,73.5,8.0,4.0,6.0,5.0,27.8,2.0,0.0,0.0,20.1,0.27,0.1,30.2,32.0,22.0,11.6,51.0,2.76,18.2,2
