Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,npxG/Sh,Cmp,Att,Cmp%,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Crs,CK,TB,Sw,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Int,Tkl+Int,Clr,Blocks,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,Won%,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,xG_p90,npxG_p90,xAG_p90,npxG+xAG_p90,xG+xAG_p90,Sh_p90,SoT_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,xA_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,CK_p90,TB_p90,Sw_p90,PrgP_p90,Tkl_p90,TklW_p90,Def 3rd_p90,Mid 3rd_p90,Att 3rd_p90,Int_p90,Tkl+Int_p90,Clr_p90,Blocks_p90,Touches_p90,Def Pen_p90,Att Pen_p90,Succ_p90,Carries_p90,PrgC_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,PrgR_p90,CrdY_p90,CrdR_p90,Fls_p90,Fld_p90,PKwon_p90,PKcon_p90,OG_p90,Recov_p90,Won_p90,PrimaryPos,SecondaryPos,Group,Cluster
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,6.4,3.2,3.2,6.4,0.3,35,8,22.9,1.11,0.25,0.09,0.38,0.09,1373,1672,82.1,21646,6031,3.7,39,171,38,3,44,10,23,13,207,94,2.98,5,0.16,48,32,13,20,15,31.3,26,74,28,31,2,1993,38,49,57,47.1,1183,107,17,55,51,1446,111,4,0,0,48,3,0,0,0,193,13,39.4,0.1900070372976777,0.0316678395496129,0.2216748768472906,0.0950035186488388,0.2026741731175229,0.1013370865587614,0.1013370865587614,0.2026741731175229,0.0095003518648838,1.1083743842364533,0.2533427163969036,43.47994370161858,52.94862772695285,685.4820548909219,190.9887403237157,0.1171710063335679,1.235045742434905,5.415200562983814,1.203377902885292,0.0950035186488388,1.3933849401829697,0.3166783954961295,0.7283603096410978,0.4116819141449683,6.555242786769881,1.5200562983814216,1.0133708655876144,0.4116819141449683,0.633356790992259,0.4750175932441942,0.8233638282899367,2.3434201266713584,0.8866995073891626,0.9817030260380016,63.11400422237861,1.203377902885292,1.5517241379310345,1.805066854327938,37.463054187192114,3.388458831808585,0.5383532723434201,1.7417311752287123,1.6150598170302606,45.79169598874033,3.5151301900070373,0.1266713581984518,0.0,1.5200562983814216,0.0950035186488388,0.0,0.0,0.0,6.111893033075299,0.4116819141449683,MF,FW,midfield,3
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,26,22,1901,21.1,7,2,9,6,1,2,10.2,8.6,1.6,10.2,0.56,62,26,41.9,2.94,1.23,0.1,0.23,0.14,221,349,63.3,2789,753,2.0,12,16,10,4,33,3,0,0,22,34,1.61,7,0.33,22,13,7,8,7,17.4,6,28,9,14,0,613,6,113,16,30.2,375,34,19,64,26,450,164,4,0,0,35,4,2,0,0,61,22,36.7,0.3314045239347711,0.094687006838506,0.4260915307732772,0.2840610205155181,0.4829037348763808,0.407154129405576,0.0757496054708048,0.4829037348763808,0.0265123619147816,2.9352972119936878,1.230931088900579,10.46291425565492,16.522882693319307,132.0410310362967,35.64965807469753,0.094687006838506,0.5681220410310363,0.7574960547080484,0.4734350341925302,0.1893740136770121,1.5623356128353498,0.142030510257759,0.0,0.0,1.0415570752235666,1.0415570752235666,0.6154655444502893,0.3314045239347711,0.3787480273540242,0.3314045239347711,0.2840610205155181,1.3256180957390846,0.4260915307732772,0.6628090478695423,29.021567596002104,0.2840610205155181,5.349815886375592,0.7574960547080484,17.753813782219886,1.6096791162546027,0.8995265649658074,3.029984218832193,1.230931088900579,21.304576538663863,7.764334560757495,0.1893740136770121,0.0,1.6570226196738558,0.1893740136770121,0.094687006838506,0.0,0.0,2.8879537085744347,1.0415570752235666,MF,FW,midfield,4
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1999.0,28,21,1965,21.8,0,3,3,0,0,0,1.6,1.6,1.0,2.6,0.12,9,2,22.2,0.41,0.09,0.0,0.0,0.18,902,1069,84.4,14322,3525,0.8,18,67,4,1,3,0,2,1,76,41,1.88,4,0.18,83,50,26,49,8,54.2,32,115,42,14,0,1337,62,18,4,22.2,663,14,1,28,12,757,10,7,0,0,45,1,0,1,0,114,31,63.3,0.0,0.1374045801526717,0.1374045801526717,0.0,0.0732824427480916,0.0732824427480916,0.0458015267175572,0.1190839694656488,0.0054961832061068,0.4122137404580153,0.0916030534351145,41.31297709923664,48.96183206106871,655.9694656488549,161.45038167938932,0.0366412213740458,0.8244274809160306,3.068702290076336,0.183206106870229,0.0458015267175572,0.1374045801526717,0.0,0.0916030534351145,0.0458015267175572,3.480916030534351,3.801526717557252,2.2900763358778624,1.1908396946564883,2.2442748091603053,0.366412213740458,1.465648854961832,5.2671755725190845,1.923664122137405,0.6412213740458016,61.23664122137405,2.839694656488549,0.8244274809160306,0.183206106870229,30.36641221374046,0.6412213740458016,0.0458015267175572,1.2824427480916032,0.549618320610687,34.67175572519084,0.4580152671755725,0.3206106870229008,0.0,2.0610687022900764,0.0458015267175572,0.0,0.0458015267175572,0.0,5.221374045801527,1.4198473282442747,MF,,midfield,1
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,25,14,1219,13.5,4,6,10,4,0,0,1.0,1.0,2.4,3.4,0.25,14,5,35.7,1.03,0.37,0.29,0.8,0.07,718,890,80.7,14050,4602,2.2,23,84,16,4,63,39,3,14,103,50,3.64,10,0.73,32,19,11,16,5,43.6,6,38,19,12,0,1021,31,11,12,37.5,618,24,3,19,8,690,30,3,1,1,9,1,0,0,0,77,5,23.8,0.29532403609516,0.4429860541427399,0.7383100902379,0.29532403609516,0.07383100902379,0.07383100902379,0.1771944216570959,0.2510254306808859,0.0184577522559475,1.03363412633306,0.36915504511895,53.010664479081214,65.70959803117309,1037.3256767842497,339.7703035274816,0.162428219852338,1.6981132075471697,6.201804757998359,1.18129614438064,0.29532403609516,4.651353568498769,2.879409351927809,0.2214930270713699,1.03363412633306,7.604593929450369,2.36259228876128,1.40278917145201,0.81214109926169,1.18129614438064,0.36915504511895,0.4429860541427399,2.80557834290402,1.40278917145201,0.8859721082854799,75.38146021328957,2.2887612797374897,0.81214109926169,0.8859721082854799,45.627563576702215,1.7719442165709598,0.2214930270713699,1.40278917145201,0.59064807219032,50.943396226415096,2.2149302707137,0.2214930270713699,0.07383100902379,0.6644790812141099,0.07383100902379,0.0,0.0,0.0,5.684987694831829,0.36915504511895,MF,,midfield,3
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2002.0,35,24,2114,23.5,1,3,4,1,0,0,0.9,0.9,2.5,3.3,0.14,10,2,20.0,0.43,0.09,0.1,0.5,0.09,1007,1236,81.5,15958,5460,1.6,27,126,19,3,18,0,6,9,135,60,2.55,5,0.21,70,32,23,37,10,69.2,41,111,42,16,0,1481,65,19,22,73.3,689,29,2,26,13,928,23,5,1,0,49,0,0,1,0,136,42,51.2,0.042573320719016,0.1277199621570482,0.1702932828760643,0.042573320719016,0.0383159886471144,0.0383159886471144,0.1064333017975402,0.140491958372753,0.0059602649006622,0.4257332071901608,0.0851466414380321,42.8713339640492,52.62062440870388,679.3850520340587,232.4503311258278,0.0681173131504257,1.1494796594134342,5.364238410596027,0.8088930936613056,0.1277199621570482,0.7663197729422896,0.0,0.2554399243140965,0.3831598864711448,5.747398297067171,2.980132450331126,1.3623462630085146,0.9791863765373698,1.575212866603595,0.4257332071901608,1.7455061494796595,4.725638599810785,1.7880794701986755,0.6811731315042573,63.05108798486282,2.7672658467360454,0.8088930936613056,0.936613055818354,29.333017975402083,1.2346263008514664,0.0851466414380321,1.1069063386944182,0.5534531693472091,39.508041627246925,0.9791863765373698,0.2128666035950804,0.042573320719016,2.0860927152317883,0.0,0.0,0.042573320719016,0.0,5.789971617786188,1.7880794701986755,MF,,midfield,1
Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,1994.0,26,26,1959,21.8,2,0,2,2,0,0,1.8,1.8,1.0,2.8,0.13,27,7,25.9,1.24,0.32,0.07,0.29,0.07,644,764,84.3,10183,2687,0.7,10,46,7,0,2,0,2,2,68,33,1.52,1,0.05,56,36,26,20,10,45.8,33,89,32,9,0,1032,45,34,12,42.9,495,15,2,32,15,615,16,7,0,0,50,3,0,0,0,100,38,62.3,0.0918836140888208,0.0,0.0918836140888208,0.0918836140888208,0.0826952526799387,0.0826952526799387,0.0459418070444104,0.1286370597243491,0.0059724349157733,1.2404287901990811,0.3215926493108729,29.586523736600306,35.09954058192955,467.82542113323126,123.44563552833078,0.0321592649310872,0.4594180704441041,2.113323124042879,0.3215926493108729,0.0,0.0918836140888208,0.0,0.0918836140888208,0.0918836140888208,3.124042879019908,2.572741194486983,1.653905053598775,1.1944869831546707,0.9188361408882082,0.4594180704441041,1.5160796324655437,4.088820826952527,1.4701378254211332,0.4134762633996937,47.41194486983154,2.0673813169984685,1.562021439509954,0.5513016845329249,22.741194486983154,0.6891271056661562,0.0918836140888208,1.4701378254211332,0.6891271056661562,28.254211332312405,0.7350689127105666,0.3215926493108729,0.0,2.2970903522205206,0.1378254211332312,0.0,0.0,0.0,4.594180704441041,1.7457886676875956,MF,,midfield,1
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31.0,1992.0,14,12,966,10.7,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.05,4,2,50.0,0.37,0.19,0.0,0.0,0.08,275,346,79.5,4054,1322,0.2,3,19,2,1,6,0,0,1,19,12,1.12,1,0.09,30,18,15,14,1,42.9,13,43,16,13,1,505,29,7,12,31.6,306,21,2,24,2,290,22,4,0,0,24,1,0,0,0,54,11,42.3,0.0,0.0,0.0,0.0,0.0279503105590062,0.0279503105590062,0.0186335403726708,0.0559006211180124,0.0046583850931677,0.3726708074534162,0.1863354037267081,25.62111801242236,32.2360248447205,377.7018633540373,123.16770186335404,0.0186335403726708,0.2795031055900621,1.7701863354037268,0.1863354037267081,0.093167701863354,0.5590062111801242,0.0,0.0,0.093167701863354,1.7701863354037268,2.7950310559006213,1.6770186335403727,1.3975155279503106,1.3043478260869563,0.093167701863354,1.2111801242236024,4.006211180124224,1.4906832298136647,1.2111801242236024,47.04968944099379,2.701863354037267,0.6521739130434783,1.1180124223602483,28.50931677018633,1.9565217391304348,0.1863354037267081,2.2360248447204967,0.1863354037267081,27.01863354037267,2.049689440993789,0.3726708074534162,0.0,2.2360248447204967,0.093167701863354,0.0,0.0,0.0,5.031055900621118,1.0248447204968945,MF,,midfield,1
Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26.0,1998.0,14,13,1090,12.1,0,2,2,0,0,0,0.7,0.7,1.3,2.0,0.17,15,4,26.7,1.24,0.33,0.0,0.0,0.05,359,472,76.1,5385,1500,1.3,19,35,14,2,31,11,6,0,58,44,3.64,4,0.33,19,12,6,7,6,41.2,2,21,4,21,0,590,2,22,12,50.0,330,18,2,23,14,409,43,1,0,0,11,4,0,0,0,47,9,60.0,0.0,0.1651376146788991,0.1651376146788991,0.0,0.0577981651376146,0.0577981651376146,0.1073394495412844,0.1651376146788991,0.0140366972477064,1.2385321100917432,0.3302752293577982,29.642201834862384,38.972477064220186,444.6330275229358,123.8532110091743,0.1073394495412844,1.5688073394495414,2.889908256880734,1.1559633027522938,0.1651376146788991,2.559633027522936,0.9082568807339452,0.4954128440366973,0.0,4.7889908256880735,1.5688073394495414,0.9908256880733946,0.4954128440366973,0.5779816513761469,0.4954128440366973,0.1651376146788991,1.7339449541284404,0.3302752293577982,1.7339449541284404,48.715596330275226,0.1651376146788991,1.81651376146789,0.9908256880733946,27.24770642201835,1.4862385321100915,0.1651376146788991,1.89908256880734,1.1559633027522938,33.77064220183486,3.5504587155963305,0.0825688073394495,0.0,0.9082568807339452,0.3302752293577982,0.0,0.0,0.0,3.880733944954129,0.7431192660550459,MF,FW,midfield,4
Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23.0,2001.0,16,9,951,10.6,1,4,5,1,0,0,2.0,2.0,2.6,4.6,0.44,23,5,21.7,2.18,0.47,0.04,0.2,0.09,635,748,84.9,10034,2735,2.4,22,58,20,2,47,35,5,8,97,52,4.92,11,1.04,14,8,7,5,2,33.3,7,21,6,6,3,831,19,31,8,57.1,568,38,10,17,9,652,50,3,0,0,10,1,1,0,0,56,1,33.3,0.0946372239747634,0.3785488958990536,0.473186119873817,0.0946372239747634,0.1892744479495268,0.1892744479495268,0.2460567823343848,0.4353312302839116,0.0416403785488959,2.176656151419558,0.473186119873817,60.09463722397476,70.78864353312302,949.589905362776,258.83280757097793,0.2271293375394321,2.082018927444795,5.488958990536278,1.892744479495268,0.1892744479495268,4.44794952681388,3.312302839116719,0.473186119873817,0.7570977917981072,9.17981072555205,1.3249211356466877,0.7570977917981072,0.6624605678233438,0.473186119873817,0.1892744479495268,0.6624605678233438,1.987381703470032,0.5678233438485805,0.5678233438485805,78.64353312302839,1.7981072555205049,2.9337539432176656,0.7570977917981072,53.75394321766561,3.5962145110410098,0.946372239747634,1.608832807570978,0.8517350157728707,61.70347003154573,4.73186119873817,0.2839116719242902,0.0,0.946372239747634,0.0946372239747634,0.0946372239747634,0.0,0.0,5.299684542586751,0.0946372239747634,MF,FW,midfield,0
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24.0,2000.0,34,24,1977,22.0,0,4,4,0,0,0,1.2,1.2,3.2,4.4,0.2,18,5,27.8,0.82,0.23,0.0,0.0,0.07,798,947,84.3,13067,3738,4.9,43,96,24,5,67,34,7,7,142,86,3.92,6,0.27,48,32,18,21,9,35.9,8,56,14,17,1,1162,15,43,22,40.7,676,45,11,37,38,836,77,2,0,0,28,9,0,0,0,89,5,25.0,0.0,0.1820940819423369,0.1820940819423369,0.0,0.054628224582701,0.054628224582701,0.1456752655538695,0.2003034901365706,0.0091047040971168,0.8194233687405159,0.2276176024279211,36.32776934749621,43.110773899848255,594.855842185129,170.1669195751138,0.2230652503793627,1.9575113808801208,4.3702579666160855,1.0925644916540214,0.2276176024279211,3.0500758725341424,1.5477996965098637,0.3186646433990895,0.3186646433990895,6.464339908952959,2.1851289833080427,1.4567526555386952,0.8194233687405159,0.9559939301972686,0.4097116843702579,0.3641881638846738,2.5493171471927165,0.6373292867981791,0.7738998482549317,52.898330804248864,0.6828528072837633,1.9575113808801208,1.0015174506828528,30.77389984825493,2.04855842185129,0.5007587253414264,1.684370257966616,1.7298937784522004,38.05766312594841,3.505311077389985,0.0910470409711684,0.0,1.2746585735963585,0.4097116843702579,0.0,0.0,0.0,4.051593323216996,0.2276176024279211,MF,FW,midfield,0
