Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,npxG/Sh,Cmp,Att,Cmp%,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Crs,CK,TB,Sw,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Int,Tkl+Int,Clr,Blocks,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,Won%,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,xG_p90,npxG_p90,xAG_p90,npxG+xAG_p90,xG+xAG_p90,Sh_p90,SoT_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,xA_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,CK_p90,TB_p90,Sw_p90,PrgP_p90,Tkl_p90,TklW_p90,Def 3rd_p90,Mid 3rd_p90,Att 3rd_p90,Int_p90,Tkl+Int_p90,Clr_p90,Blocks_p90,Touches_p90,Def Pen_p90,Att Pen_p90,Succ_p90,Carries_p90,PrgC_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,PrgR_p90,CrdY_p90,CrdR_p90,Fls_p90,Fld_p90,PKwon_p90,PKcon_p90,OG_p90,Recov_p90,Won_p90
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1987.0,16,11,1033,11.5,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.03,2,1,50.0,0.17,0.09,0.0,0.0,0.12,438,505,86.7,7952,2404,0.3,2,28,0,0,0,0,0,0,22,6,0.55,0,0.0,17,11,15,2,0,62.5,14,31,57,1,1,641,127,7,3,42.9,322,4,0,8,3,393,3,2,0,0,16,0,0,0,0,42,19,65.5,0.0,0.0,0.0,0.0,0.017424975798644726,0.017424975798644726,0.008712487899322363,0.03484995159728945,0.0026137463697967086,0.17424975798644723,0.08712487899322362,38.16069699903194,43.99806389157793,692.8170377541143,209.44820909970957,0.026137463697967083,0.17424975798644723,2.4394966118102612,0.0,0.0,0.0,0.0,0.0,0.0,1.9167473378509197,1.4811229428848014,0.9583736689254598,1.3068731848983544,0.17424975798644723,0.0,1.2197483059051306,2.700871248789932,4.966118102613746,0.08712487899322362,55.84704743465634,11.064859632139399,0.6098741529525653,0.2613746369796709,28.054211035818007,0.34849951597289447,0.0,0.6969990319457889,0.2613746369796709,34.24007744433688,0.2613746369796709,0.17424975798644723,0.0,1.3939980638915779,0.0,0.0,0.0,0.0,3.6592449177153923,1.6553727008712489
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,6.4,3.2,3.2,6.4,0.3,35,8,22.9,1.11,0.25,0.09,0.38,0.09,1373,1672,82.1,21646,6031,3.7,39,171,38,3,44,10,23,13,207,94,2.98,5,0.16,48,32,13,20,15,31.3,26,74,28,31,2,1993,38,49,57,47.1,1183,107,17,55,51,1446,111,4,0,0,48,3,0,0,0,193,13,39.4,0.1900070372976777,0.03166783954961295,0.22167487684729065,0.09500351864883885,0.2026741731175229,0.10133708655876145,0.10133708655876145,0.2026741731175229,0.009500351864883884,1.1083743842364533,0.2533427163969036,43.47994370161858,52.94862772695285,685.4820548909219,190.9887403237157,0.11717100633356792,1.235045742434905,5.415200562983814,1.203377902885292,0.09500351864883885,1.3933849401829697,0.3166783954961295,0.7283603096410978,0.41168191414496835,6.555242786769881,1.5200562983814216,1.0133708655876144,0.41168191414496835,0.633356790992259,0.47501759324419424,0.8233638282899367,2.3434201266713584,0.8866995073891626,0.9817030260380015,63.11400422237861,1.203377902885292,1.5517241379310345,1.805066854327938,37.463054187192114,3.3884588318085855,0.5383532723434201,1.7417311752287123,1.6150598170302606,45.79169598874033,3.5151301900070373,0.1266713581984518,0.0,1.5200562983814216,0.09500351864883885,0.0,0.0,0.0,6.111893033075299,0.41168191414496835
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,25,17,1393,15.5,5,2,7,5,0,0,4.3,4.3,1.9,6.2,0.4,29,11,37.9,1.87,0.71,0.17,0.45,0.17,502,678,74.0,7914,2701,1.7,20,19,21,7,51,0,0,2,42,45,2.91,3,0.19,43,25,18,14,11,65.1,20,63,37,22,0,886,51,50,12,41.4,391,35,9,32,14,481,101,2,0,0,27,0,0,0,0,72,22,61.1,0.32304379038047376,0.12921751615218952,0.45226130653266333,0.32304379038047376,0.27781765972720746,0.27781765972720746,0.12275664034458005,0.4005743000717875,0.025843503230437905,1.8736539842067481,0.7106963388370423,32.43359655419957,43.804737975592246,511.3137114142139,174.50825556353195,0.10983488872936109,1.292175161521895,1.2275664034458005,1.3567839195979898,0.45226130653266333,3.295046661880833,0.0,0.0,0.12921751615218952,2.7135678391959797,2.7781765972720747,1.615218951902369,1.1629576453697057,0.9045226130653267,0.7106963388370423,1.292175161521895,4.07035175879397,2.3905240488155064,1.4213926776740846,57.24335965541996,3.295046661880833,3.230437903804738,0.7753050969131371,25.262024407753053,2.261306532663317,0.5814788226848528,2.0674802584350322,0.9045226130653267,31.076812634601577,6.525484565685571,0.12921751615218952,0.0,1.7444364680545585,0.0,0.0,0.0,0.0,4.651830581478823,1.4213926776740846
Abel,es ESP,DF,Osasuna,es La Liga,23.0,2000.0,35,20,2074,23.0,2,0,2,2,0,0,0.5,0.5,1.0,1.6,0.07,12,4,33.3,0.52,0.17,0.17,0.5,0.04,776,1071,72.5,12899,5046,1.5,16,57,18,13,85,0,3,2,77,39,1.69,4,0.17,61,37,28,25,8,61.9,18,79,64,47,2,1322,65,19,18,51.4,605,50,7,27,18,683,92,3,0,0,25,1,0,1,0,106,20,54.1,0.08678881388621022,0.0,0.08678881388621022,0.08678881388621022,0.021697203471552556,0.021697203471552556,0.04339440694310511,0.06943105110896818,0.003037608486017358,0.5207328833172614,0.17357762777242045,33.674059787849565,46.47540983606557,559.7444551591128,218.96817743490837,0.06509161041465768,0.6943105110896818,2.473481195756991,0.781099324975892,0.5641272902603665,3.6885245901639343,0.0,0.13018322082931535,0.08678881388621022,3.3413693346190936,2.6470588235294117,1.605593056894889,1.215043394406943,1.0848601735776278,0.3471552555448409,0.781099324975892,3.428158148505304,2.777242044358727,2.03953712632594,57.36740597878495,2.820636451301832,0.8244937319189972,0.781099324975892,26.253616200578595,2.1697203471552555,0.30376084860173574,1.171648987463838,0.781099324975892,29.638379942140787,3.9922854387656703,0.13018322082931535,0.0,1.0848601735776278,0.04339440694310511,0.0,0.04339440694310511,0.0,4.599807135969142,0.8678881388621023
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,30.8,9,2,11,8,1,1,8.5,7.7,3.8,11.5,0.4,73,26,35.6,2.37,0.85,0.11,0.31,0.11,351,538,65.2,5145,976,3.4,27,23,15,4,30,0,3,4,48,61,1.98,9,0.29,11,5,2,4,5,33.3,4,15,36,27,1,878,34,142,35,40.7,587,75,42,92,65,689,169,3,0,0,34,3,0,0,0,83,64,45.7,0.29263005780346824,0.06502890173410404,0.3576589595375722,0.26011560693641617,0.2763728323699422,0.25036127167630057,0.12355491329479769,0.37391618497109824,0.01300578034682081,2.373554913294798,0.8453757225433527,11.41257225433526,17.492774566473987,167.28684971098266,31.734104046242773,0.11054913294797689,0.8778901734104047,0.7478323699421965,0.4877167630057803,0.13005780346820808,0.9754335260115606,0.0,0.09754335260115606,0.13005780346820808,1.5606936416184969,0.3576589595375722,0.16257225433526012,0.06502890173410404,0.13005780346820808,0.16257225433526012,0.13005780346820808,0.4877167630057803,1.170520231213873,0.8778901734104047,28.547687861271672,1.1054913294797688,4.617052023121388,1.1380057803468209,19.085982658959537,2.4385838150289016,1.365606936416185,2.991329479768786,2.1134393063583814,22.402456647398843,5.494942196531792,0.09754335260115606,0.0,1.1054913294797688,0.09754335260115606,0.0,0.0,0.0,2.6986994219653178,2.0809248554913293
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,19,12,1090,12.1,1,1,2,1,0,0,0.6,0.6,1.1,1.7,0.14,7,3,42.9,0.58,0.25,0.14,0.33,0.08,568,675,84.1,8355,3494,2.3,11,45,11,2,31,6,1,5,66,25,2.06,1,0.08,29,20,12,10,7,65.6,5,34,41,19,0,791,40,22,6,50.0,426,31,5,14,8,513,55,1,0,0,16,0,0,0,0,45,7,43.8,0.08256880733944955,0.08256880733944955,0.1651376146788991,0.08256880733944955,0.04954128440366972,0.04954128440366972,0.09082568807339451,0.1403669724770642,0.011559633027522937,0.5779816513761469,0.24770642201834864,46.899082568807344,55.73394495412843,689.862385321101,288.4954128440367,0.18990825688073393,0.9082568807339451,3.7155963302752295,0.9082568807339451,0.1651376146788991,2.5596330275229358,0.4954128440366973,0.08256880733944955,0.41284403669724773,5.44954128440367,2.3944954128440368,1.651376146788991,0.9908256880733946,0.8256880733944955,0.5779816513761469,0.41284403669724773,2.8073394495412844,3.3853211009174315,1.5688073394495414,65.31192660550458,3.302752293577982,1.8165137614678901,0.4954128440366973,35.174311926605505,2.5596330275229358,0.41284403669724773,1.1559633027522938,0.6605504587155964,42.357798165137616,4.541284403669725,0.08256880733944955,0.0,1.3211009174311927,0.0,0.0,0.0,0.0,3.7155963302752295,0.5779816513761469
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,26,22,1901,21.1,7,2,9,6,1,2,10.2,8.6,1.6,10.2,0.56,62,26,41.9,2.94,1.23,0.1,0.23,0.14,221,349,63.3,2789,753,2.0,12,16,10,4,33,3,0,0,22,34,1.61,7,0.33,22,13,7,8,7,17.4,6,28,9,14,0,613,6,113,16,30.2,375,34,19,64,26,450,164,4,0,0,35,4,2,0,0,61,22,36.7,0.33140452393477116,0.09468700683850605,0.4260915307732772,0.2840610205155181,0.48290373487638083,0.407154129405576,0.07574960547080485,0.48290373487638083,0.026512361914781696,2.9352972119936873,1.2309310889005787,10.462914255654919,16.522882693319307,132.0410310362967,35.64965807469753,0.09468700683850605,0.5681220410310363,0.7574960547080484,0.47343503419253025,0.1893740136770121,1.5623356128353498,0.14203051025775906,0.0,0.0,1.0415570752235666,1.0415570752235666,0.6154655444502893,0.33140452393477116,0.3787480273540242,0.33140452393477116,0.2840610205155181,1.3256180957390846,0.4260915307732772,0.6628090478695423,29.021567596002104,0.2840610205155181,5.349815886375592,0.7574960547080484,17.753813782219886,1.6096791162546027,0.8995265649658074,3.0299842188321935,1.2309310889005787,21.304576538663863,7.764334560757495,0.1893740136770121,0.0,1.6570226196738558,0.1893740136770121,0.09468700683850605,0.0,0.0,2.8879537085744347,1.0415570752235666
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999.0,29,29,2463,27.4,0,1,1,0,0,0,0.9,0.9,0.3,1.2,0.04,12,1,8.3,0.44,0.04,0.0,0.0,0.08,719,939,76.6,16039,5771,0.4,8,67,10,2,5,0,1,17,79,25,0.91,3,0.11,36,23,24,11,1,58.8,39,75,146,6,1,1251,160,25,3,75.0,632,16,0,18,3,650,4,13,0,0,47,1,1,2,0,87,40,53.3,0.0,0.03654080389768575,0.03654080389768575,0.0,0.03288672350791717,0.03288672350791717,0.010962241169305723,0.04384896467722289,0.00146163215590743,0.43848964677222896,0.03654080389768575,26.272838002436053,34.31181485992692,586.0779537149817,210.87697929354445,0.0146163215590743,0.292326431181486,2.4482338611449452,0.3654080389768575,0.0730816077953715,0.18270401948842874,0.0,0.03654080389768575,0.6211936662606578,2.8867235079171745,1.3154689403166868,0.8404384896467721,0.8769792935444579,0.40194884287454324,0.03654080389768575,1.4250913520097441,2.7405602923264314,5.33495736906212,0.21924482338611448,45.71254567600487,5.84652862362972,0.9135200974421437,0.10962241169305724,23.093788063337396,0.584652862362972,0.0,0.6577344701583434,0.10962241169305724,23.751522533495734,0.146163215590743,0.47503045066991473,0.0,1.7174177831912303,0.03654080389768575,0.03654080389768575,0.0730816077953715,0.0,3.1790499390986597,1.46163215590743
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1997.0,28,12,1183,13.1,3,4,7,2,1,2,7.1,5.4,2.2,7.6,0.7,26,11,42.3,1.98,0.84,0.08,0.18,0.21,152,221,68.8,1956,534,1.3,14,13,10,0,3,0,5,0,26,33,2.51,9,0.68,17,11,2,10,5,75.0,2,19,16,6,0,367,20,57,4,28.6,158,8,4,22,13,241,69,1,0,0,23,1,1,0,0,12,36,52.2,0.22823330515638207,0.3043110735418428,0.5325443786982248,0.1521555367709214,0.540152155536771,0.4108199492814878,0.16737109044801354,0.5781910397295013,0.05325443786982249,1.978021978021978,0.8368554522400676,11.563820794590026,16.813186813186814,148.8081149619611,40.62552831783601,0.0989010989010989,1.0650887573964496,0.989010989010989,0.760777683854607,0.0,0.22823330515638207,0.0,0.3803888419273035,0.0,1.978021978021978,1.2933220625528317,0.8368554522400676,0.1521555367709214,0.760777683854607,0.3803888419273035,0.1521555367709214,1.4454775993237532,1.2172442941673711,0.45646661031276414,27.920540997464073,1.521555367709214,4.33643279797126,0.3043110735418428,12.02028740490279,0.6086221470836856,0.3043110735418428,1.6737109044801353,0.989010989010989,18.334742180896026,5.249366018596788,0.0760777683854607,0.0,1.749788672865596,0.0760777683854607,0.0760777683854607,0.0,0.0,0.9129332206255283,2.738799661876585
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,23,20,1710,19.0,0,1,1,0,0,0,0.4,0.4,0.6,1.0,0.05,5,1,20.0,0.26,0.05,0.0,0.0,0.08,1200,1297,92.5,22280,6158,1.4,9,59,8,5,10,0,0,2,62,20,1.05,1,0.05,23,19,16,7,0,64.7,26,49,81,5,0,1484,139,20,3,75.0,915,19,1,7,2,1101,22,0,0,0,11,0,0,0,0,62,61,67.0,0.0,0.052631578947368425,0.052631578947368425,0.0,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.052631578947368425,0.002631578947368421,0.2631578947368421,0.052631578947368425,63.1578947368421,68.26315789473684,1172.6315789473686,324.10526315789474,0.07368421052631578,0.47368421052631576,3.1052631578947367,0.4210526315789474,0.2631578947368421,0.5263157894736842,0.0,0.0,0.10526315789473685,3.263157894736842,1.2105263157894737,1.0,0.8421052631578948,0.368421052631579,0.0,1.368421052631579,2.5789473684210527,4.2631578947368425,0.2631578947368421,78.10526315789474,7.315789473684211,1.0526315789473684,0.15789473684210525,48.1578947368421,1.0,0.052631578947368425,0.368421052631579,0.10526315789473685,57.94736842105263,1.1578947368421053,0.0,0.0,0.5789473684210527,0.0,0.0,0.0,0.0,3.263157894736842,3.210526315789474
