Player,Squad,Comp,PrimaryPos,SecondaryPos,Group,Style,Gls,Ast,Min,MP,Gls_p90,npxG_p90,Sh_p90,SoT%,G/Sh,xAG_p90,SCA90,PrgC_p90,Succ%,Att Pen_p90,CrsPA_p90,PrgR_p90,PrgP_p90,Cmp%,KP_p90,Tkl_p90,Int_p90,Tkl+Int_p90,TotDist_p90,1/3_p90,Clr_p90,Blocks_p90,Att 3rd_p90,Tkl%,Won%,GA,Saves,CS,Save%,PSxG+/-,Stp%,#OPA/90,AvgDist,Launch%,AvgLen,CS%
Matthis Abline,Nantes,fr Ligue 1,FW,,attack,Target Forward,9.0,2.0,2768,34,0.2926300578034682,0.2503612716763005,2.373554913294798,35.6,0.11,0.1235549132947976,1.98,2.4385838150289016,40.7,4.617052023121388,0.130057803468208,5.494942196531792,,,,,,,,,,,,,,,,,,,,,,,,
Tammy Abraham,Milan,it Serie A,FW,,attack,Target Forward,3.0,4.0,1183,28,0.228233305156382,0.4108199492814878,1.978021978021978,42.3,0.08,0.1673710904480135,2.51,0.6086221470836856,28.6,4.33643279797126,0.0,5.249366018596788,,,,,,,,,,,,,,,,,,,,,,,,
Akor Adams,Montpellier,fr Ligue 1,FW,,attack,Target Forward,3.0,1.0,1075,15,0.2511627906976744,0.36,2.176744186046512,46.2,0.12,0.0837209302325581,2.09,0.9209302325581394,50.0,4.102325581395348,0.0,3.767441860465116,,,,,,,,,,,,,,,,,,,,,,,,
Che Adams,Torino,it Serie A,FW,,attack,Target Forward,9.0,3.0,2652,36,0.3054298642533937,0.2782805429864253,2.138009049773756,39.7,0.14,0.0678733031674208,2.14,0.7805429864253394,29.7,3.5294117647058822,0.0,5.1923076923076925,,,,,,,,,,,,,,,,,,,,,,,,
Junior Adamu,Freiburg,de Bundesliga,FW,,attack,Squad Forward,2.0,2.0,1545,25,0.116504854368932,0.3203883495145631,2.0970873786407767,30.6,0.06,0.1398058252427184,1.69,0.4660194174757281,34.5,4.660194174757282,0.0,4.893203883495145,,,,,,,,,,,,,,,,,,,,,,,,
Karim Adeyemi,Dortmund,de Bundesliga,FW,MF,attack,Elite Dual-Threat Forward,7.0,6.0,1433,25,0.4396371249127704,0.3454291695743196,2.889043963712492,39.1,0.15,0.3768318213538032,3.58,4.27076064200977,42.6,5.526866713189113,0.1256106071179344,9.609211444521982,,,,,,,,,,,,,,,,,,,,,,,,
Simon Adingra,Brighton,eng Premier League,FW,MF,attack,All-Around Forward,2.0,2.0,1097,29,0.1640838650865998,0.2051048313582497,2.707383773928897,24.2,0.06,0.2051048313582497,3.86,4.102096627164995,42.0,6.235186873290794,0.4922515952597995,11.157702825888787,,,,,,,,,,,,,,,,,,,,,,,,
Oladapo Afolayan,St. Pauli,de Bundesliga,FW,MF,attack,Squad Forward,3.0,1.0,1639,32,0.1647345942647956,0.1702257474069554,2.086638194020744,34.2,0.08,0.2086638194020744,2.86,2.9103111653447225,49.0,3.4045149481391093,0.5491153142159854,5.930445393532642,,,,,,,,,,,,,,,,,,,,,,,,
Ludovic Ajorque,Brest,fr Ligue 1,FW,,attack,Target Forward,13.0,2.0,2495,31,0.468937875751503,0.3462925851703406,1.911823647294589,47.2,0.25,0.1118236472945891,2.17,0.3607214428857715,47.1,4.509018036072145,0.0360721442885771,4.472945891783567,,,,,,,,,,,,,,,,,,,,,,,,
Maghnes Akliouche,Monaco,fr Ligue 1,FW,MF,attack,All-Around Forward,5.0,10.0,2406,32,0.1870324189526184,0.314214463840399,2.281795511221945,27.9,0.07,0.2730673316708229,4.45,4.750623441396509,48.5,5.835411471321696,0.112219451371571,8.453865336658355,,,,,,,,,,,,,,,,,,,,,,,,
