id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp
8260,Erling Haaland,35,2979,27,28.795336209237576,8,5.507687093690038,125,25,2,0,F S,Manchester City,24,25.7506607696414,32.735352732241154,5.163548586890101,EPL
13222,Thiago,38,3292,22,24.68977300822735,1,3.4500465877354145,84,24,7,0,F S,Brentford,14,17.83925338834524,22.693457752466202,4.9276386722922325,EPL
11363,Antoine Semenyo,37,3220,17,12.836786897853017,4,4.130169393494725,83,38,7,0,F M,"Bournemouth,Manchester City",16,11.31444920040667,20.870588455349207,7.893717190250754,EPL
8865,Ollie Watkins,37,2908,16,18.827725588344038,3,2.816021606326103,83,23,4,0,F S,Aston Villa,16,18.827725588344038,21.745904091745615,4.3408186649903655,EPL
6857,Morgan Gibbs-White,37,3142,15,11.671697720885277,4,4.5044658575206995,83,48,1,0,F M S,Nottingham Forest,14,10.910528883337975,17.26536614820361,5.41371457837522,EPL
8272,João Pedro,35,2698,15,15.723741941154003,5,3.983569510281086,73,29,5,0,F M S,Chelsea,15,15.723741941154003,19.279914382845163,4.795918667688966,EPL
5555,Dominic Calvert-Lewin,35,2732,14,18.671318570151925,1,1.5441157519817352,73,20,3,0,F S,Leeds,10,14.865511130541563,18.026230743154883,2.768353534862399,EPL
7254,Viktor Gyokeres,36,2255,14,13.871430788189173,1,2.6537387324497104,55,20,5,0,F S,Arsenal,11,11.587924215942621,14.775203138589859,3.2595408838242292,EPL
501,Danny Welbeck,37,2286,13,12.718900069594383,1,2.2625304386019707,56,20,5,0,F S,Brighton,12,10.435393424704671,14.984859207645059,4.79668786842376,EPL
11504,Eli Junior Kroupi,33,1708,13,8.849121669307351,0,1.81576990429312,52,22,5,0,F M S,Bournemouth,11,7.326783983036876,11.65668847411871,5.08306846767664,EPL
5735,Jean-Philippe Mateta,32,2225,12,15.977427493780851,0,1.2496193014085293,63,9,2,0,F S,Crystal Palace,8,12.93275199458003,15.170770466327667,2.393757389858365,EPL
6026,Richarlison,32,1926,11,9.866276641376317,4,3.4081881837919354,61,19,5,0,F M S,Tottenham,11,9.866276641376317,11.187864126637578,2.256451802328229,EPL
6552,Bryan Mbeumo,33,2676,11,13.309208107180893,3,5.091009698808193,73,45,4,0,F M S,Manchester United,11,13.309208107180893,22.316140696406364,6.068183907307684,EPL
8995,Hugo Ekitike,28,1835,11,11.932188130915165,4,2.49130567535758,65,21,0,0,F S,Liverpool,11,11.932188130915165,16.322998896241188,4.886437067762017,EPL
11974,Benjamin Sesko,30,1636,11,12.504127995111048,1,0.5977376587688923,61,9,2,0,F S,Manchester United,11,12.504127995111048,14.22715387493372,1.6295164097100496,EPL
13729,Zian Flemming,29,1795,11,9.554794699884951,0,0.6848367601633072,52,10,5,0,F S,Burnley,9,8.032457021065056,7.825265257619321,1.7185871880501509,EPL
5596,Harry Wilson,36,2751,10,5.759745923802257,7,5.503671173006296,78,37,7,0,M S,Fulham,10,5.759745923802257,11.091712068766356,4.132661418989301,EPL
7080,Matheus Cunha,33,2506,10,7.076101643964648,2,3.698060866445303,90,33,4,0,F M S,Manchester United,10,7.076101643964648,17.601462572813034,10.04429018124938,EPL
8497,Cole Palmer,26,2007,10,10.257518742233515,1,2.1231346298009157,64,24,5,0,F M S,Chelsea,5,5.69050582125783,16.862019807100296,10.53817812167108,EPL
11356,Enzo Fernández,36,3149,10,11.91719657368958,4,8.865934781730175,72,68,10,0,M S,Chelsea,8,10.394858876243234,27.90237918496132,16.159590516239405,EPL
12412,Morgan Rogers,37,3301,10,7.1458222679793835,6,7.475014166906476,84,48,7,0,F M,Aston Villa,10,7.1458222679793835,18.204907912760973,7.18029835447669,EPL
1228,Bruno Fernandes,35,3082,9,11.931805820204318,21,17.75713463127613,85,137,5,0,M,Manchester United,5,7.364792761392891,25.94416971784085,11.6638073772192,EPL
1776,Jarrod Bowen,38,3416,9,8.273593910038471,11,8.43197707645595,79,44,4,0,F M,West Ham,8,7.512425065040588,14.380666948854923,3.8775093499571085,EPL
2248,Casemiro,34,2649,9,6.577375870198011,2,3.177681438624859,52,36,9,1,M S,Manchester United,9,6.577375870198011,16.168739575892687,11.8755685351789,EPL
4105,Raúl Jiménez,36,2215,9,12.016586696729064,3,1.944130852818489,73,25,5,0,F S,Fulham,5,8.971911305561662,10.551293056458235,1.5579581297934055,EPL
5675,Ismaila Sarr,28,2181,9,11.543307237327099,1,2.200463268905878,48,19,2,0,F M S,Crystal Palace,6,9.259800650179386,12.695851609110832,3.182719247415662,EPL
8327,Bruno Guimarães,29,2467,9,6.597308051772416,5,3.8693104553967714,42,44,6,0,M S,Newcastle United,7,5.074970376677811,14.098117183893919,9.365775737911463,EPL
9983,Beto,37,1552,9,10.947674445807934,1,1.0041863042861223,43,12,3,0,F S,Everton,9,10.947674445807934,12.097216665744781,0.9316300563514233,EPL
8117,Nick Woltemade,33,1953,8,8.262036986649036,3,2.9012854490429163,32,22,0,0,F M S,Newcastle United,7,7.500868149101734,8.79227769561112,2.300962809473276,EPL
9156,Kevin Schade,35,2781,8,11.832689953967929,3,4.565257132053375,57,29,6,1,F M S,Brentford,8,11.071521116420627,17.37519696727395,3.947028372436762,EPL
9739,Kiernan Dewsbury-Hall,31,2649,8,4.330071024596691,4,6.574528481811285,39,36,6,0,M S,Everton,8,4.330071024596691,14.278130359947681,8.12063055485487,EPL
10746,Jaidon Anthony,37,2777,8,5.564454321749508,2,4.374400090426207,55,37,4,0,F M S,Burnley,8,5.564454321749508,12.432500068098307,5.8338369987905025,EPL
11966,Noah Okafor,28,1592,8,6.296696716919541,1,2.259315438568592,35,19,3,0,F M S,Leeds,8,6.296696716919541,10.915966423228383,3.821857213973999,EPL
12916,Thierno Barry,38,1921,8,9.149327086284757,0,1.003938363865018,38,12,3,0,F S,Everton,8,9.149327086284757,10.248973826877773,2.152141290716827,EPL
468,Callum Wilson,32,1229,7,7.60266119800508,1,1.0267592892050743,38,8,1,0,F M S,West Ham,7,7.60266119800508,6.896431270986795,0.6376099903136492,EPL
1250,Mohamed Salah,27,2163,7,8.837686643004417,7,6.428150682710111,67,49,1,0,F M S,Liverpool,6,8.076517805457115,17.373253114521503,6.297699823975563,EPL
6055,Phil Foden,33,2083,7,6.688582047820091,5,6.107132508419454,55,53,4,0,F M S,Manchester City,7,6.688582047820091,19.913979632779956,11.249179357662797,EPL
6681,Harvey Barnes,37,1947,7,8.050524456426501,1,3.1062511932104826,58,23,1,0,F M S,Newcastle United,7,8.050524456426501,12.753550255671144,4.153433019295335,EPL
7322,Bukayo Saka,31,2239,7,8.701195661909878,5,8.552797641605139,71,62,2,0,F M S,Arsenal,6,7.940026824362576,19.112561374902725,8.03783930838108,EPL
8706,Eberechi Eze,33,1928,7,4.807457456365228,2,2.63351690210402,63,17,1,0,F M S,"Arsenal,Crystal Palace",7,4.807457456365228,10.355983335524797,4.074069639667869,EPL
9556,William Osula,24,777,7,4.915395822376013,0,0.44665464758872986,23,6,0,0,F S,Newcastle United,7,4.915395822376013,5.110440414398909,0.374596425332129,EPL
9662,Dango Ouattara,32,2303,7,8.694322310388088,3,5.863189795985818,56,27,5,0,F M S,Brentford,7,8.694322310388088,13.248472003266215,2.525791243650019,EPL
9789,Brian Brobbey,31,1943,7,7.1118853986263275,1,1.5084331054240465,36,15,6,0,F S,Sunderland,7,7.1118853986263275,9.288086591288447,1.6009146478027105,EPL
10741,Marcus Tavernier,34,2779,7,9.397737859748304,4,6.158757623285055,70,52,6,0,M S,Bournemouth,5,7.875400157645345,17.828483875840902,8.152811899781227,EPL
11296,Cody Gakpo,36,2758,7,9.826099138706923,5,6.592332137748599,87,53,3,0,F M S,Liverpool,7,9.826099138706923,18.731607224792242,5.830895097926259,EPL
833,Virgil van Dijk,38,3420,6,4.891236560419202,0,0.3285368140786886,30,11,4,0,D,Liverpool,6,4.891236560419202,12.485559825785458,11.383180485107005,EPL
2203,Emiliano Buendía,36,1778,6,3.7844833629205823,2,3.626239098608494,49,30,6,0,M S,Aston Villa,6,3.7844833629205823,9.206152960658073,3.6858682241290808,EPL
6544,Lukas Nmecha,31,1076,6,8.14029767177999,1,1.684540869668126,30,11,0,0,F S,Leeds,4,5.856791136786342,6.9614828154444695,1.4674436636269093,EPL
7148,Wilson Isidor,32,1142,6,5.619414385408163,0,0,43,0,2,0,F S,Sunderland,6,5.619414385408163,6.032191339880228,0.6748491153120995,EPL
7698,Leandro Trossard,31,2026,6,6.75317111518234,6,4.988008487969637,53,36,2,0,F M S,Arsenal,6,6.75317111518234,13.572629373520613,4.960563652217388,EPL
8150,Anthony Gordon,26,1888,6,8.756197515875101,2,3.714877739548683,48,26,3,1,F M S,Newcastle United,3,6.472690913826227,10.976929228752851,4.042658658698201,EPL
9307,Iliman Ndiaye,32,2805,6,6.143797228112817,3,4.4570258148014545,43,30,2,0,M,Everton,4,4.6214595306664705,15.463790696114302,6.865662005729973,EPL
9788,Dominik Szoboszlai,36,3236,6,4.724170769564807,7,8.835168853402138,70,78,8,1,D F M,Liverpool,6,3.963001917116344,21.543240651488304,15.061629813164473,EPL
10948,Valentín Castellanos,18,1430,6,7.11984671279788,0,0.747508816421032,50,12,6,0,F S,West Ham,6,7.11984671279788,6.779488665983081,1.1389543628320098,EPL
12963,Evanilson,36,2810,6,11.830083925276995,1,3.069119781255722,72,30,2,0,F S,Bournemouth,6,11.830083925276995,15.950044002383947,3.485610034316778,EPL
13778,Igor Jesus,37,2379,6,7.199080093763769,4,2.280350387096405,70,15,2,0,F M S,Nottingham Forest,5,6.437911256216466,8.53495698235929,1.8483535712584853,EPL
6382,Pedro Neto,34,2667,5,5.149658527225256,6,7.933838244527578,46,53,2,1,F M S,Chelsea,5,5.149658527225256,19.275073874741793,9.826909113675356,EPL
7526,Martín Zubimendi,38,3040,5,2.944296659901738,1,1.087823610752821,27,19,4,0,D M S,Arsenal,5,2.944296659901738,13.476701468229294,11.17571103386581,EPL
7723,John McGinn,30,2221,5,2.999398436397314,4,4.862495846115053,28,39,5,0,M S,Aston Villa,5,2.999398436397314,10.930921144783497,5.892162735573947,EPL
8288,Tomas Soucek,35,2206,5,5.214208725839853,0,0.8217995762825012,25,11,3,1,M S,West Ham,5,5.214208725839853,7.2598637118935585,4.5387363182380795,EPL
8397,Florian Wirtz,33,2426,5,7.576831823214889,3,5.384264823049307,51,60,1,0,F M S,Liverpool,5,7.576831823214889,20.641500685364008,10.743050179444253,EPL
8651,Enzo Le Fée,36,2953,5,5.268677884712815,6,7.54641820769757,36,53,5,0,F M S,Sunderland,2,2.224039314314723,13.179932279512286,7.138605147600174,EPL
8981,Jéremy Doku,30,1783,5,3.9999447921290994,5,7.553412737324834,39,59,0,0,F M S,Manchester City,5,3.9999447921290994,18.843964545056224,9.702232458628714,EPL
9492,Crysencio Summerville,31,2509,5,5.6990333795547485,2,3.23570919316262,54,28,6,0,F M S,West Ham,5,5.6990333795547485,11.091377541422844,3.962690422311425,EPL
9910,Anton Stach,29,2394,5,2.9207701720297337,3,5.958144916221499,55,61,3,0,M S,Leeds,5,2.9207701720297337,10.147935139015317,6.20686737075448,EPL
10697,Ryan Gravenberch,36,3008,5,1.5315213510766625,3,2.368868850171566,38,29,5,0,M S,Liverpool,5,1.5315213510766625,13.042155539616942,10.718840256333351,EPL
10715,João Palhinha,33,2180,5,3.407368754968047,2,0.7690385403111577,33,8,8,0,D M S,Tottenham,5,3.407368754968047,4.779836506582797,3.3048387337476015,EPL
11592,Nico O&#039;Reilly,34,2646,5,6.7270112708210945,3,3.847439743578434,41,23,5,0,D M S,Manchester City,5,6.7270112708210945,21.241205548867583,14.797816466540098,EPL
11965,Tijjani Reijnders,28,1642,5,4.861917998641729,2,3.0732941813766956,49,18,2,0,F M S,Manchester City,5,4.861917998641729,13.1919761672616,7.1736231576651335,EPL
